order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior
1,112108,train,4,4,10,9
2,202279,prior,3,5,9,8
3,205970,prior,16,5,17,12
4,178520,prior,36,1,9,7
5,156122,prior,42,6,16,9
6,22352,prior,4,1,12,30
7,142903,prior,11,2,14,30
8,3107,prior,5,4,6,17
9,139016,prior,14,0,19,5
10,135442,prior,4,6,8,8
11,143742,prior,4,1,19,23
12,152610,prior,22,6,8,10
13,45082,prior,2,6,17,1
14,18194,prior,49,3,15,3
15,54901,prior,51,3,11,2
16,174840,prior,18,3,12,13
17,36855,test,5,6,15,1
18,118860,prior,3,4,20,6
19,83009,prior,7,5,17,13
20,182912,prior,1,6,17,NULL
21,88772,prior,13,2,12,5
22,30822,prior,25,1,8,12
23,68572,prior,21,1,18,8
24,193635,prior,19,0,14,0
25,59897,prior,19,6,10,25
26,153404,prior,2,0,16,7
27,129389,prior,16,6,20,14
28,98256,prior,29,3,13,6
29,81606,prior,14,5,12,10
30,194309,prior,2,3,0,18
31,201744,prior,7,6,15,14
32,119216,prior,4,1,19,11
33,119866,prior,6,1,18,21
34,35220,test,20,3,11,8
35,202527,prior,1,1,13,NULL
36,79431,train,23,6,18,30
37,52564,prior,1,4,17,NULL
38,42756,train,6,6,16,24
39,184886,prior,8,5,18,30
40,382,prior,29,1,15,23
41,85264,prior,20,2,11,21
42,89125,prior,11,0,20,3
43,39630,prior,14,5,17,4
44,183833,prior,3,6,17,1
45,37913,prior,55,1,14,0
46,10951,prior,3,0,18,18
47,191597,prior,6,5,0,15
48,172786,prior,5,2,0,30
49,79165,prior,14,1,22,7
50,94330,prior,25,1,13,4
51,160959,prior,6,0,10,7
52,27498,prior,18,3,10,1
53,87889,prior,5,4,20,3
54,91977,prior,2,3,15,30
55,127522,prior,8,4,14,5
56,41591,prior,8,0,12,2
57,34016,prior,1,6,8,NULL
58,150647,prior,9,3,8,7
59,137346,prior,8,1,19,11
60,66984,prior,9,0,10,6
61,12295,prior,2,1,9,7
62,189943,prior,4,0,11,7
63,122048,prior,21,0,13,4
64,5430,prior,8,0,16,6
65,26599,prior,9,2,10,11
66,83434,prior,15,0,15,5
67,5738,prior,4,3,12,6
68,96594,prior,3,3,10,30
69,115481,prior,16,3,12,3
70,128213,prior,2,6,15,4
71,69984,prior,20,1,13,11
72,199522,prior,11,1,19,25
73,152590,prior,13,0,12,0
74,3321,prior,31,5,21,14
75,106387,prior,1,5,19,NULL
76,75136,prior,5,1,19,30
77,91667,prior,19,1,11,5
78,96511,prior,3,2,15,15
79,197745,prior,94,6,15,3
80,190599,prior,16,3,13,7
81,186444,prior,15,4,14,9
82,83499,prior,20,1,13,3
83,41155,prior,7,6,20,20
84,21551,prior,36,2,16,5
85,4041,prior,25,5,11,7
86,166645,prior,9,6,22,4
87,155476,prior,6,1,15,4
88,102020,prior,4,0,11,7
89,105579,prior,47,0,15,2
90,43798,prior,14,2,16,13
91,5189,prior,54,0,14,3
92,56022,prior,13,6,9,6
93,130239,prior,15,6,10,19
94,40375,prior,5,3,16,8
95,187742,prior,39,5,7,5
96,17227,train,7,6,20,30
97,175918,prior,13,0,13,27
98,56463,train,41,3,8,14
99,108185,prior,2,6,14,11
100,62781,prior,1,2,13,NULL
101,18783,prior,33,3,15,6
102,4988,prior,8,3,16,30
103,16694,prior,4,2,9,8
104,4645,prior,8,5,18,3
105,178958,prior,27,4,10,30
106,161214,prior,10,0,18,30
107,141357,prior,33,3,20,6
108,184205,prior,4,1,20,1
